Study	Drug	DrugName	Gene	Gene_in_GenAge_Human	Gene_in_GenAge_Model	Gene_targeted_by_DrugAge	Drug_targets_GenAge_Human	Drug_targets_GenAge_Model	Drug_in_DrugAge
Aliper2016	CHEMBL388978	STAUROSPORINE	GNRH1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	NFE2L2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	PLA2G1B	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CXCL2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CHRM2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CDK2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	MARCKSL1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	EIF2S1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	TFAP2A	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	IBSP	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	TGM2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	HIPK1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	SLC1A1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	ANXA1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	APLN	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CCL25	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	DAPK1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CD2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	APOE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	OSM	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	WWOX	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	GHRL	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	SLPI	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CHRM4	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	SLC6A3	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	CXCR2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	IGF1R	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	MT1E	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	E2F1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	VWF	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	SLC2A4	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	NTRK1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	NR4A1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	LDLR	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	SFTPA1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	H2AFX	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL600	ACETYLCYSTEINE	ACO1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL38380	FASUDIL	CBL	NA	NA	TRUE	NA	TRUE	TRUE
Aliper2016	CHEMBL38380	FASUDIL	GATA2	NA	NA	TRUE	NA	TRUE	TRUE
Aliper2016	CHEMBL38380	FASUDIL	ROCK2	NA	TRUE	TRUE	NA	TRUE	TRUE
Aliper2016	CHEMBL38380	FASUDIL	CBLB	NA	NA	TRUE	NA	TRUE	TRUE
Aliper2016	CHEMBL38380	FASUDIL	ROCK1	NA	TRUE	TRUE	NA	TRUE	TRUE
Aliper2016	CHEMBL38380	FASUDIL	KRAS	NA	TRUE	TRUE	NA	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	KRT19	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	ADM	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	VDR	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	BIRC5	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	FGFR3	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	PLG	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	CD55	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	NRG1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	MDM2	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	NEUROD1	NA	NA	TRUE	TRUE	TRUE	TRUE
