Study	Drug	DrugName	Gene	Gene_in_GenAge_Human	Gene_in_GenAge_Model	Gene_targeted_by_DrugAge	Drug_targets_GenAge_Human	Drug_targets_GenAge_Model	Drug_in_DrugAge
Barardo2017	CHEMBL442	ERGOTAMINE	HTR1E	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL442	ERGOTAMINE	HTR2A	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL442	ERGOTAMINE	HTR6	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL442	ERGOTAMINE	HTR1F	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL442	ERGOTAMINE	HTR2C	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	AFP	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	NTF3	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	COIL	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	CEL	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	TOP2A	TRUE	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	BDNF	TRUE	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	TNFRSF1B	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	BGLAP	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	TNFRSF8	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	GRB2	TRUE	TRUE	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	CSF1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	NRG1	TRUE	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	DDIT3	TRUE	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	PIK3CB	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	TFPI	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	BIRC5	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL1554	DACTINOMYCIN	CD5	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL223643	VALINOMYCIN	SSTR2	NA	NA	TRUE	TRUE	NA	NA
Barardo2017	CHEMBL223643	VALINOMYCIN	SST	TRUE	NA	TRUE	TRUE	NA	NA
Calvert2016	CHEMBL278315	GELDANAMYCIN	HIF1A	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL278315	GELDANAMYCIN	CD28	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL278315	GELDANAMYCIN	FCGR3A	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL278315	GELDANAMYCIN	CEL	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL278315	GELDANAMYCIN	VIM	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL278315	GELDANAMYCIN	MYOD1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL278315	GELDANAMYCIN	PLAU	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL278315	GELDANAMYCIN	FLT3	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL278315	GELDANAMYCIN	FCGR3B	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL414883	RADICICOL	NGFR	TRUE	NA	NA	TRUE	NA	NA
Calvert2016	CHEMBL414883	RADICICOL	NTRK3	NA	NA	NA	TRUE	NA	NA
Calvert2016	CHEMBL414883	RADICICOL	NTRK1	NA	NA	TRUE	TRUE	NA	NA
Calvert2016	CHEMBL413	SIROLIMUS	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	TGM2	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	HRAS	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	NFE2L2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	FBXW7	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	IL10	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	EGFR	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	AKT1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	FKBP1A	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	NF1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	MTOR	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	EML4	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	IL7	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	STK11	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	FGF2	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	NOS1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	ABCG2	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	MCL1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	PLAU	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	RBL2	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	DDIT3	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	BAX	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	ABCB1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	CTLA4	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	WT1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	PGR	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	PIM1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	IGFBP1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	RB1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	PTEN	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	TSC1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	FKBP4	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	EIF4E	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	KRAS	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	DDC	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	MAPK10	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	ERBB2	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	PRKAA1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	APC	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	IL17A	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	FGFR1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	IL15	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	RPS6KB1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	DCN	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	MMP1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL413	SIROLIMUS	ITGAL	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	PIK3CD	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	BRD3	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	BRAF	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	BRD4	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	KRAS	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	PIK3CB	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	PIK3CG	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	AMH	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	PTEN	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	BRD2	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98350	LY-294002	MTOR	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL98	VORINOSTAT	HDAC7	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC8	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	RB1	TRUE	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC11	NA	NA	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC10	NA	NA	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC9	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC3	TRUE	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC4	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	GNA11	NA	TRUE	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC1	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	FBXW7	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC6	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	EZH2	NA	TRUE	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC2	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	HDAC5	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	SMARCB1	NA	NA	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	MYD88	NA	NA	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	BAP1	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	BRAF	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	MYC	TRUE	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	ERBB2	TRUE	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	PTEN	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	NPM1	NA	NA	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL98	VORINOSTAT	BIRC5	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL109480	TANESPIMYCIN	HSP90AB1	NA	NA	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL109480	TANESPIMYCIN	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL109480	TANESPIMYCIN	MET	NA	NA	TRUE	TRUE	TRUE	NA
Calvert2016	CHEMBL109480	TANESPIMYCIN	HSP90AA1	TRUE	NA	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL109480	TANESPIMYCIN	HSP90AA2P	NA	NA	NA	TRUE	TRUE	NA
Calvert2016	CHEMBL99	TRICHOSTATIN	FHIT	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	IL2	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	BHLHE40	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HIST3H2A	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC8	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC5	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC3	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC7	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	ABCB1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC4	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	SLC25A5	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	BRD4	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HIST4H4	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	CYP3A4	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	BLM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC9	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	BDNF	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	RB1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	HDAC6	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	SFTPA1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	CYP27B1	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	TNFSF10	NA	NA	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	PLAU	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Calvert2016	CHEMBL99	TRICHOSTATIN	CDKN2D	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL1624	LEVOTHYROXINE	THRA	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL1624	LEVOTHYROXINE	SERPINE1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL1624	LEVOTHYROXINE	THRB	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL1624	LEVOTHYROXINE	THBD	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL1624	LEVOTHYROXINE	TSHB	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL1624	LEVOTHYROXINE	F9	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL2103741	LEVOTHYROXINE SODIUM	THRB	NA	TRUE	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL2103741	LEVOTHYROXINE SODIUM	THRA	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL278315	GELDANAMYCIN	HIF1A	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL278315	GELDANAMYCIN	CD28	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL278315	GELDANAMYCIN	FCGR3A	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL278315	GELDANAMYCIN	CEL	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL278315	GELDANAMYCIN	VIM	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL278315	GELDANAMYCIN	MYOD1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL278315	GELDANAMYCIN	PLAU	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL278315	GELDANAMYCIN	FLT3	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL278315	GELDANAMYCIN	FCGR3B	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL109480	TANESPIMYCIN	HSP90AB1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL109480	TANESPIMYCIN	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL109480	TANESPIMYCIN	MET	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL109480	TANESPIMYCIN	HSP90AA1	TRUE	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL109480	TANESPIMYCIN	HSP90AA2P	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL383824	ALVESPIMYCIN	HSP90AA1	TRUE	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL383824	ALVESPIMYCIN	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL383824	ALVESPIMYCIN	MET	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL383824	ALVESPIMYCIN	HSP90AB1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC7	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC8	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	RB1	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC11	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC10	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC9	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC3	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC4	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	GNA11	NA	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC1	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	FBXW7	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC6	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	EZH2	NA	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC2	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	HDAC5	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	SMARCB1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	MYD88	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	BAP1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	BRAF	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	MYC	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	ERBB2	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	PTEN	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	NPM1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL98	VORINOSTAT	BIRC5	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL99	TRICHOSTATIN	FHIT	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	IL2	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	BHLHE40	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HIST3H2A	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC8	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC5	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC3	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC7	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	ABCB1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	SLC25A5	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	BRD4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HIST4H4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	CYP3A4	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	BLM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC9	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	BDNF	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	RB1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	HDAC6	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	SFTPA1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	CYP27B1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	TNFSF10	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	PLAU	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL99	TRICHOSTATIN	CDKN2D	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	HRH1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	CAMK2B	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	DRD4	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	DRD2	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	HTR2A	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	CALY	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	LIPA	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	ADRA1A	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	APOB	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	HTR2C	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL422	TRIFLUOPERAZINE	CSF2	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	NRIP1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RARG	NA	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	FAS	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	MYCN	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	MAPK8	TRUE	TRUE	TRUE	TRUE	TRUE	NA
