PubChem_CID,red,blue,F_ratio,PubChem_CID,red,blue
CID002987927,0.001041415 ,1.42E-05,0.013614 ,CID002987927,1,0
CID000004397,0.000973782 ,1.32E-05,0.013569 ,CID000004397,1,0
CID000002266,0.000810287 ,1.04E-05,0.012826 ,CID000002266,1,0
CID000439202,0.001469479 ,1.87E-05,0.012711 ,CID000439202,1,0
CID000101615,0.000959383 ,1.07E-05,0.011185 ,CID000101615,1,0
CID000021157,0.000886903 ,9.49E-06,0.010701 ,CID000021157,1,0
CID000002415,0.000909615 ,9.28E-06,0.010206 ,CID000002415,1,0
CID000001967,0.001204532 ,1.19E-05,0.009857 ,CID000001967,1,0
CID005354033,0.000935012 ,9.18E-06,0.009818 ,CID005354033,1,0
CID003651377,0.001077076 ,1.04E-05,0.009612 ,CID003651377,1,0
CID000001893,0.001220111 ,1.15E-05,0.009395 ,CID000001893,1,0
CID004172142,0.000804697 ,7.42E-06,0.009220 ,CID004172142,1,0
CID000005697,0.001216621 ,1.11E-05,0.009105 ,CID000005697,1,0
CID000023190,0.000914834 ,7.78E-06,0.008504 ,CID000023190,1,0
CID000005142,0.001110778 ,8.86E-06,0.007978 ,CID000005142,1,0
CID000126941,0.001227309 ,9.73E-06,0.007924 ,CID000126941,1,0
CID002733514,0.001101060 ,8.69E-06,0.007892 ,CID002733514,1,0
CID000015818,0.000796337 ,6.26E-06,0.007858 ,CID000015818,1,0
CID000001328,0.001125320 ,8.75E-06,0.007778 ,CID000001328,1,0
CID000001649,0.001084884 ,8.32E-06,0.007669 ,CID000001649,1,0
CID000002733,0.001077796 ,8.15E-06,0.007559 ,CID000002733,1,0
CID000003446,0.001087068 ,8.14E-06,0.007486 ,CID000003446,1,0
CID000135313,0.000779384 ,5.78E-06,0.007415 ,CID000135313,1,0
CID000064715,0.000982439 ,7.18E-06,0.007313 ,CID000064715,1,0
CID000005059,0.001034230 ,7.50E-06,0.007248 ,CID000005059,1,0
CID005311198,0.000789866 ,5.65E-06,0.007151 ,CID005311198,1,0
CID000003132,0.001428866 ,1.02E-05,0.007106 ,CID000003132,1,0
CID005353454,0.001011795 ,6.92E-06,0.006839 ,CID005353454,1,0
CID000101430,0.000825093 ,5.57E-06,0.006752 ,CID000101430,1,0
CID000004938,0.001088283 ,7.11E-06,0.006536 ,CID000004938,1,0
CID000004477,0.001063425 ,6.82E-06,0.006409 ,CID000004477,1,0
CID000001330,0.001015329 ,6.34E-06,0.006241 ,CID000001330,1,0
CID000440053,0.001128458 ,6.79E-06,0.006018 ,CID000440053,1,0
CID000060839,0.000765322 ,4.39E-06,0.005739 ,CID000060839,1,0
CID000164437,0.000984836 ,5.63E-06,0.005715 ,CID000164437,1,0
CID006603931,0.000981486 ,5.55E-06,0.005655 ,CID006603931,1,0
CID000092381,0.001355011 ,7.65E-06,0.005646 ,CID000092381,1,0
CID005372720,0.001212843 ,6.80E-06,0.005607 ,CID005372720,1,0
CID000002196,0.001140037 ,6.19E-06,0.005429 ,CID000002196,1,0
CID000001908,0.000968753 ,5.25E-06,0.005424 ,CID000001908,1,0
CID000002910,0.001069063 ,5.50E-06,0.005147 ,CID000002910,1,0
CID000005578,0.000930543 ,4.79E-06,0.005144 ,CID000005578,1,0
CID010391971,0.000947308 ,4.76E-06,0.005021 ,CID010391971,1,0
CID000099562,0.000944627 ,4.69E-06,0.004969 ,CID000099562,1,0
CID000133012,0.000943957 ,4.68E-06,0.004956 ,CID000133012,1,0
CID000001676,0.000937925 ,4.54E-06,0.004839 ,CID000001676,1,0
CID000065710,0.000930889 ,4.37E-06,0.004700 ,CID000065710,1,0
CID000003442,0.001134226 ,5.22E-06,0.004602 ,CID000003442,1,0
CID000004843,0.001059349 ,4.79E-06,0.004519 ,CID000004843,1,0
CID006603828,0.001049949 ,4.69E-06,0.004463 ,CID006603828,1,0
CID006105572,0.000913129 ,3.96E-06,0.004339 ,CID006105572,1,0
CID003035523,0.001099634 ,4.76E-06,0.004328 ,CID003035523,1,0
CID006708701,0.001294905 ,5.56E-06,0.004296 ,CID006708701,1,0
CID000001864,0.000894445 ,3.78E-06,0.004223 ,CID000001864,1,0
CID000001720,0.001199724 ,5.06E-06,0.004218 ,CID000001720,1,0
CID000003885,0.000805688 ,3.32E-06,0.004124 ,CID000003885,1,0
CID000161713,0.000902407 ,3.71E-06,0.004115 ,CID000161713,1,0
CID009951825,0.000823603 ,3.38E-06,0.004107 ,CID009951825,1,0
CID009952135,0.000899726 ,3.65E-06,0.004058 ,CID009952135,1,0
CID000004552,0.001111767 ,4.33E-06,0.003894 ,CID000004552,1,0
CID000009782,0.000762276 ,2.71E-06,0.003553 ,CID000009782,1,0
CID000001340,0.001073439 ,3.75E-06,0.003497 ,CID000001340,1,0
CID009841284,0.000868899 ,2.93E-06,0.003377 ,CID009841284,1,0
CID011957581,0.000852348 ,2.87E-06,0.003364 ,CID011957581,1,0
CID000012852,0.000864543 ,2.83E-06,0.003277 ,CID000012852,1,0
CID000003893,0.000333833 ,9.45E-07,0.002832 ,CID000003893,0,0
CID000222786,0.000989484 ,2.66E-06,0.002688 ,CID000222786,1,0
CID006278000,0.000782659 ,2.00E-06,0.002551 ,CID006278000,1,0
CID005281004,0.001378331 ,3.17E-06,0.002302 ,CID005281004,1,0
CID000439647,0.001263112 ,2.62E-06,0.002072 ,CID000439647,1,0
CID011957499,0.001390984 ,2.84E-06,0.002041 ,CID011957499,1,0
CID000099625,0.001214596 ,2.34E-06,0.001924 ,CID000099625,1,0
CID004046493,0.000799203 ,1.32E-06,0.001646 ,CID004046493,1,0
CID000004401,0.000797192 ,1.27E-06,0.001592 ,CID000004401,1,0
CID000005944,0.001996559 ,2.28E-06,0.001142 ,CID000005944,1,0
CID000005522,0.000815491 ,8.78E-07,0.001077 ,CID000005522,1,0
CID000445629,0.000966087 ,6.33E-07,0.000655 ,CID000445629,1,0
CID000002544,0.001043244 ,3.15E-08,0.000030 ,CID000002544,1,0
